Month,Account,Cost,,,,,,,,
13,Usaa-car-loan,382.04,Usaa-bank,,,,,,,
13,Truist-visa,623,Truist-4000,,,,,,,
13,BGE,213.85,Mnt-cc,,,,,,,
13,Bge-fuckn-fee,2.3,Mnt-cc,,,,,,,
13,Comcast-glen,134.6,Mnt-cc,,,,,,,
13,Brooks-running,132,cash,,,,,,,
13,gas ,85.12,Mnt-cc,21.285 G @ $3.99 / g ,,,,,,
12,Smokes-7-11,5.63,cash,,,,,,,
15,mcds,8.2,cash,,,,,,,
16,lunch ,15.49,cash,,,,,,,
17,toll,5.25,Mnt-cc,,,,,,,
17,breakfast,8.64,cash,,,,,,,
17,Chick-fill-a,5.79,cash,,,,,,,
17,Gas-n-smokes,25.63,cash,,,,,,,
17,snack,3.3,cash,,,,,,,
17,toll,5.25,Mnt-cc,,,,,,,
18,spa,300,cash,,,,,,,
19,toll,5.25,Mnt-cc,,,,,,,
19,2-roll-snack,3.3,cash,,,,,,,
19,costco ,245.09,Mnt-cc,,,,,,,
19,gas ,29.41,Mnt-cc,7.64 G @ $3.640 / g,,,,,,
19,Smokes-7-11,6.37,cash,,,,,,,
19,drinks,175,cash,,,,,,,
20,Quarter-pndr,6.14,cash,,,,,,,
20,mcds,8.89,cash,,,,,,,
,,,1535.78,,,,,,,
21,mcds,8.89,cash,,,,,,,
21,grauls,65.37,cash,,,,,,,
21,Chick-fill-a,5.96,cash,,,,,,,
21,Liberty-gas-annapolis,58.84,Mnt-cc,14.713 G @ $3.999 / g,,,,,,
22,Galley-cafe-arin,16.73,cash,,,,,,,
23,mcds,8.2,cash,,,,,,,
24,toll,5.8,Mnt-cc,,,,,,,
24,Smokes-7-11,5.73,cash,,,,,,,
25,toll,5.8,Mnt-cc,,,,,,,
25,Galley-cafe-arin,18,cash,,,,,,,
25,Eddiev's-dinner,80,cash,,,,,,,
25,EddieV's-tip,20,cash,,,,,,,
25,Modan-drinks,25,cash,,,,,,,
25,sassy,520,cash,the case,,,,,,
26,costco ,321.41,Mnt-cc,,,,,,,
26,Seven11,3.3,cash,,,,,,,
26,Chick-fill-a,14.5,cash,,,,,,,
27,Liberty-gas-annapolis,88.55,Mtb-cc,,,,,,,
27,mcds,8.89,cash,,,,,,,
27,Hormone-thitiama,81.18,Mtb-cc,,,,,,,
27,Smokes-7-11,5.63,cash,,,,,,,
29,walmart,89.87,Mtb-cc,running clothes,,,,,,
29,Chick-fill-a,12.57,cash,,,,,,,
30,Smokes-7-11,18.5,cash,,,,,,,
30,Galley-cafe-arin,15.27,cash,,,,,,,
30,Chick-fill-a,14.46,cash,,,,,,,
31,grauls,17.33,cash,,,,,,,
,,,0,,,,,,,
0,eom,0,eom spot,,,,,,,
Aug,,,15026.44,,,,,,,
,,,7075.18,Week 1,,,,,,
,,,2894.12,Week 2,,,,,,
1,toll,5.8,Mnt-cc,,,,,,,
1,grauls,12.18,cash,,,,,,,
1,Pizza-hut,20.35,Mnt-cc,,,,,,,
2,toll,5.25,Mnt-cc,,,,,,,
2,costco ,116.19,Mnt-cc,,,,,,,
3,cvs ,220.97,Mnt-cc,,,,,,,
3,Liberty-gas-annapolis,61.58,Mnt-cc,20.839G @ $2.955 / g,,,,,,
3,Grauls-lunch,13.24,cash,,,,,,,
3,BGE,308.04,Mnt-cc,,,,,,,
4,Liberty-gas-annapolis,64.58,Mnt-cc,,,,,,,
4,toll,5.25,Mnt-cc,,,,,,,
4,Cvspharm-SilAm,220.97,Mnt-cc,,,,,,,
4,Pizza-hut,20.35,Mnt-cc,,,,,,,
5,toll,5.8,Mnt-cc,,,,,,,
6,toll,5.8,Mnt-cc,,,,,,,
6,Galley-cafe-arin,14,cash,,,,,,,
5,Seven11,5.8,Mnt-cc,,,,,,,
6,Seven11,6.11,cash,smoke,,,,,,
6,Seven11,5.49,cash,snak,,,,,,
7,Budget-car-rent,1492.7,AmEx,car rent,,,,,,
7,Gott-auto-body,2100,cash,depsit for bed,,,,,,
7,Chesapeak-au-truck,1649.97,AmEx,gas leak,,,,,,
7,uber,12.95,Mnt-cc,,,,,,,
7,Chick-fill-a,12.77,cash,,,,,,,
7,marriott,390,AmEx,ellie weekend,,,,,,
7,Liberty-gas-annapolis,50,cash,12.503G @ 3.999/g,,,,,,
8,YardHouse,239.82,Mnt-cc,,,,,,,
8,Seven11,9.22,,,,,,,,
8,Galley-cafe-arin,13.02,cash,,,,,,,
9,costco ,171.75,Mnt-cc,,,,,,,
10,Grauls-lunch,20.13,cash,,,,,,,
10,Choptank,213,cash,,,,,,,
10,Liberty-gas-annapolis,82.72,Mnt-cc,20.686G @ $3.999g,,,,,,
10,Mcds,9.32,cash,,,,,,,
10,Seven11,27.92,cash,beer-smokes-4-ellie,,,,,,
10,ellie,1200,cash,,,,,,,
13,sheetz ,6.47,cash,smoke,,,,,,
13,Galley-cafe-arin,15.87,cash,,,,,,,
13,Chick-fill-a,5.93,,,,,,,,
15,eddieV's,91,cash,,,,,,,
15,EddieV's-tip,30,cash,,,,,,,
15,EddieV's-drinks,60,cash,,,,,,,
15,Shugar-palm,26.18,Mnt-cc,,,,,,,
16,costco ,278.23,Mnt-cc,,,,,,,
16,Seven11,9.59,cash,,,,,,,
16,Home-depot,19.06,cash,step ladder,,,,,,
16,highs,61.53,Mnt-cc,19.865G @ $3.099/g,,,,,,
16,highs,13.09,Mnt-cc,smokes,,,,,,
19,Seven11,3.22,cash,,,,,,,
16,season52,130.62,Mnt-cc,,,,,,,
17,ezpassmd,150,Crypto-com-cc,,,,,,,
17,Annapolis-utils,255.47,Mnt-cc,,,,,,,
,,,1859.5,Week 3,,,,,,
19,River,200,Mnt-cc,,,,,,,
19,River-fee,,,,,,,,,
20,Samson-dental,26,Mnt-cc,,,,,,,
21,Cricket,100,Mnt-cc,,,,,,,
21,River,200,Mnt-cc,,,,,,,
21,River-btc-buy-fee,,,,,,,,,
22,Galley-cafe-arin,15.66,cash,,,,,,,
22,eddieV's,210.94,AmEx,,,,,,,
22,EddieV's-tip,60,cash,,,,,,,
23,costco ,249.7,Mnt-cc,,,,,,,
23,Seven11,20,cash,,,,,,,
23,spa,330,cash,,,,,,,
23,Chick-fill-a,11.96,cash,,,,,,,
24,Grauls-lunch,19.63,cash,,,,,,,
24,comcast ,137.3,Mnt-cc,,,,,,,
24,Usaa-insurance,278.31,Mnt-cc,,,,,,,
,,,3197.64,Week 4,,,,,,
24,Seven11,6,cash,,,,,,,
25,Chick-fill-a,11.32,cash,,,,,,,
26,Ledo-pizza,10.88,cash,,,,,,,
26,Seven11,20,cash,,,,,,,
27,Seven11,9.3,cash,,,,,,,
27,gas ,35,cash,,,,,,,
27,spa,85,cash,,,,,,,
27,spa,280,cash,,,,,,,
28,Enterprise-rental,279.49,AmEx,,,,,,,
28,Enterprise-rental,97.46,AmEx,,,,,,,
28,grouls,21.32,cash,,,,,,,
28,Gott-auto-body,484,Usaa-cc,,,,,,,
29,Chick-fill-a,12.77,cash,,,,,,,
30,Sassy-sophia-tuition,1200,cash,,,,,,,
30,Liberty-gas-annapolis,50,cash,12.503 G @ $3.999/g,,,,,,
30,Seven11,9.3,cash,,,,,,,
30,costco ,149.4,Mnt-cc,,,,,,,
30,EddieV's-drinks,200,cash,,,,,,,
30,marriott,170,AmEx,,,,,,,
30,West-st-exxon,33.2,cash,,,,,,,
30,Liberty-gas-annapolis,33.2,cash,,,,,,,
0,eom,0,,,,,,,,
Sep,,,13649.76,,,,,,,
,,,8204.84,Week 1,,,,,,
1,ezpassmd,100,Crypto-cc,,,,,,,
1,mortgage,1891.59,Truist-4000,,,,,,,
1,Smokes-wawa,11.82,cash,,,,,,,
1,Liberty-gas-annapolis,50.28,Mnt-cc,12.574G @ 3.999/g,,,,,,
4,Galley-cafe-arin,13.02,cash,,,,,,,
4,Seven11,6,cash,,,,,,,
6,Sophia-colege-sem2,1500,cash,,,,,,,
6,Arleen-party,100,cash,,,,,,,
6,costco ,270.85,Mnt-cc,,,,,,,
6,Seven11,39.3,cash,,,,,,,
6,koreanAir,2864.81,AmEx,,,,,,,
6,BGE,214.69,Mnt-cc,,,,,,,
6,BGE-fuckn-fee,2.3,Mnt-cc,,,,,,,
6,comcast ,137.3,Mnt-cc,,,,,,,
6,Liberty-gas-annapolis,50,Mnt-cc,12.503G @ 3.999/g,,,,,,
6,redbull,3,cash,,,,,,,
6,Surgar-palm,192.92,Mnt-cc,,,,,,,
6,Surgar-palm-tip,40,cash,,,,,,,
6,Surgar-palm,146.26,cash,,,,,,,
6,Surgar-palm-tip,23.77,cash,,,,,,,
6,Seven11,6,Vanilla-debit,,,,,,,
6,marriott,150,Mn-cc,,,,,,,
7,mcds,8.89,Vanilla-debit,,,,,,,
7,Usaa-car-loan,382.04,Usaa-bank,,,,,,,
,,0,696.95,Week 2,,,,,,
9,Seven11,36,cash,gas n smokes,,,,,,
10,Galley-cafe-arin,15.68,cash,,,,,,,
11,sweetwater,65,cash,,,,,,,
12,Seven11,6,Pre-paid-cc,,,,,,,
12,sunoco,50.19,Mnt-cc,,,,,,,
12,Eddiev's-dinner,190.8,cash,,,,,,,
12,Eddiev's-tip,19.2,cash,,,,,,,
,,,1896.09,Week 3,,,,,,
13,Mint-mobile,82.11,Mnt-cc,johngalt,,,,,,
13,RebbelionBurbon,98.56,Mnt-cc,,,,,,,
13,RebbelionBurbon-tip,25,cash,,,,,,,
13,ezpassmd,100,Crypto-cc,,,,,,,
13,Seven11,8.41,,,,,,,,
17,Seven11,50,Mnt-cc,12.597G @ $3.969/g,,,,,,
18,Seven11,3,cash,,,,,,,
18,Galley-cafe-arin,15.34,cash,,,,,,,
18,EddieV's-drinks,151.56,AmEx,,,,,,,
18,EddieV's-tip,50,cash,,,,,,,
19,Hair-cut-shave,106,cash,,,,,,,
19,Hair-cut-shave-tip,25,cash,,,,,,,
19,Chesapeak-au-truck,887.57,AmEx,,,,,,,
20,costco ,123.43,Mnt-cc,,,,,,,
20,Liberty-gas-annapolis,68.23,Mnt-cc,17.061G @ 3.999/g,,,,,,
20,Seven11,8,cash,,,,,,,
20,Chick-fill-a,12.77,cash,,,,,,,
20,Tian-Korean,81.11,Mnt-cc,,,,,,,
,,,3165.96,Week 4,,,,,,
21,ezpassmd,100,crypto.com,,,,,,,
21,dordt,1500,check,,,,,,,
21,Truck-loan,382.04,,,,,,,,
21,Auto-insurance,268.31,,,,,,,,
22,heloc,323.46,Acnt-4000,,,,,,,
22,Seven11,50.04,Mnt-cc,12.388G @ 4.388 $/g ,,,,,,
24,Galley-cafe-arin,15.66,cash,,,,,,,
24,ATM-fee,3,Crypto-atm-fee,,,,,,,
24,Crypto-com-fee,2,Crypto-atm-fee,,,,,,,
24,cvs ,14.49,Mnt-cc,,,,,,,
25,Mcds,4.87,cash,,,,,,,
25,Exxon-tysons-rt7,23.82,cash,,,,,,,
25,Galley-cafe-arin,6.35,cash,,,,,,,
25,Galley-cafe-arin,11.65,cash,,,,,,,
26,exxon,50.01,Mnt-cc,11.911 G @ 4.19 $/g,,,,,,
26,Galley-cafe-arin,11.31,cash,,,,,,,
26,Galley-cafe-arin,15.66,cash,,,,,,,
26,Cap-one-fee,3,Atm-fee,,,,,,,
26,Crypto-com-fee,8,Crypto-atm-fee,,,,,,,
27,Seven11,29.99,Mn-cc,7.52G @ 3.869 $ / g ,,,,,,
27,costco ,269.01,cash,,,,,,,
27,Smokes-7-11,8.41,cash,,,,,,,
28,mcds,8.89,cash,,,,,,,
30,Ebisu-thai-lees-b,45.99,cash,,,,,,,
30,Ebisu-thai-tip-lees-b,10,cash,,,,,,,
1,eom,0,,,,,,,,
Oct,,,5625.47,,,,,,,
,,,1168.1,Week 1,,,,,,
3,EddieV's-drks-dnr,124,cash,,,,,,,
3,EddieV's-tip,28,cash,,,,,,,
4,mcds,8.89,cash,,,,,,,
4,ezpassmd,175,crypto.com,,,,,,,
4,Home-depot,112.12,cash,,,,,,,
4,wawa ,16.15,cash,,,,,,,
4,Cap-one-fee,3,Crypto-atm-fee,,,,,,,
4,Green-house,22.68,Usaa-cc,,,,,,,
5,exxon ,15.36,Mnt-cc,3.658G @ $3.658/g,,,,,,
5,mcds,8.63,cash,,,,,,,
5,Liberty-gas-annapolis,76.97,Mnt-cc,17.74G @ $3.899g,,,,,,
5,Green-house,60,cash ,,,,,,,
5,Green-house,30,cash,,,,,,,
5,Green-house,300,cash,,,,,,,
6,Shutters-on-king,127.3,Mnt-cc,,,,,,,
7,PCMobile,60,cash,,,,,,,
1,eow1,0,,,,,,,,
,,,447.46,Week 2,,,,,,
9,Eddiev's-dinner,96.46,,,,,,,,
9,Crypto-com-fee,3,crypto.com,,,,,,,
11,Crypto-atm-fee,6,Crypto-atm-fee,,,,,,,
10,American-express,342,,,,,,,,
2,eow2,0,,,,,,,,
,,,4009.91,Week 3,,,,,,
9,Galley-cafe-arin,15.34,cash,,,,,,,
10,mcds,8.89,cash,,,,,,,
10,wawa,17.8,cash,,,,,,,
10,Chick-fill-a,11.96,cash,,,,,,,
10,Costo,371.85,Mtb-cc,,,,,,,
10,spa,1000,cash,,,,,,,
11,Smokes-7-11,6,cash,,,,,,,
11,mcds,9.32,cash,,,,,,,
11,target,34.95,cash,,,,,,,
11,cigars,35.05,cash,,,,,,,
12,Debit-card,250,cash,,,,,,,
12,Debit-card-fee,7.98,cash,,,,,,,
13,snack,2.41,cash,,,,,,,
12,grauls ,20.96,cash,,,,,,,
13,Chick-fill-a,5.93,cash,,,,,,,
13,BGE,479.21,crypto.com,,,,,,,
13,BGE-fuckn-fee,2.3,crypto.com,,,,,,,
16,Gas-dulles-7-11,50.29,Mnt-cc,12.36G @ $4.069/g,,,,,,
16,Gas-dulles-7-11,12.13,cash,,,,,,,
17,Galley-cafe-arin,15.47,cash,,,,,,,
17,Eddiev's-dinner,97.52,cash,,,,,,,
17,EddieV's-tip,30,cash,,,,,,,
18,Liberty-gas-annapolis,72.55,Mnt-cc,19.613G @ $3.599/g,,,,,,
18,copies,20,cash,,,,,,,
18,Galley-cafe-arin,10.26,cash,,,,,,,
18,Chick-fill-a,11.96,cash ,,,,,,,
19,Cricket,100,Mnt-cc,,,,,,,
19,ezpassmd,100,crypto.com,,,,,,,
19,Green-house,55,cash,,,,,,,
20,Smokes-7-11,13.14,cash,,,,,,,
23,Gas-dulles-7-11,68.02,Usaa-cc,,,,,,,
24,Lazy-Dog-dinner,50.89,cash,,,,,,,
24,Lazy-Dog-tip,15,cash,,,,,,,
24,Eddiev's-dinner,34.98,cash,,,,,,,
24,EddieV's-tip,15.02,cash,,,,,,,
25,costco,200.9,Usaa-cc,,,,,,,
25,Jiffy-lube,345.58,AmEx,,,,,,,
25,RebbelionBurbon,84.32,AmEx,,,,,,,
25,RebbelionBurbon-tip,20,cash,,,,,,,
25,Smokes-7-11,12.13,cash,,,,,,,
27,walmart,15.9,cash,,,,,,,
28,Chick-fill-a,5.93,cash,,,,,,,
28,tarbender,55.31,cash,,,,,,,
28,Tarbender-tip,20,cash,,,,,,,
30,Oyamel,15.4,cash,,,,,,,
30,Central-Liquors,19.6,cash,,,,,,,
30,Parking,25,Mtb-cc,,,,,,,
31,EddieV's-drinks,117.66,cash,,,,,,,
31,EddieV's-tip,20,cash,,,,,,,
3,eow3,0,,,,,,,,
,,,,,,,,,,
1,eom,,,,,,,,,
Nov,,,15063.74,,,,,,,
1,Liberty-gas-annapolis,50.88,Mtb-cc,13.756G @ $3.699g,,,,,,
1,costco,328.44,Mtb-cc,,,,,,,
1,54Restaurant,117,Mtb-cc,Philipina-Halloween-Prty,,,,,,
1,54Restaurant,6.6,cash,,,,,,,
1,PCMobile,426.98,cashss,,,,,,,
2,CellPhoneFix-A-Mall,55,cash,,,,,,,
2,Seven11,29.95,Mtb-cc,7.218G @ $4.149/g,,,,,,
3,EddieV's-drinks,46.64,cash,,,,,,,
3,EddieV's-tip,20,,,,,,,,
4,Seven11,30.12,Mtb-cc,7.26G @ $4.149g,,,,,,
4,SocialBarber,106,cash,,,,,,,
4,SocialBarber-Tip,20,cash,,,,,,,
4,Seven11-dulles,12.39,cash,smokes,,,,,,
7,Seven11,30.93,Mtb-cc,7.454G @ $4.149g,,,,,,
7,EddieV's-tip,30,cash,,,,,,,
7,EddieV's-drinks,137.8,cash,,,,,,,
7,Green-house,19.08,Mtb-cc,drinks,,,,,,
7,Green-house,70.58,Mtb-cc,drinks,,,,,,
7,Green-house-tip,30,cash,,,,,,,
7,Green-house,36.54,cash,,,,,,,
8,Seven11,20.81,Mtb-cc,5.016G @ $4.14g,,,,,,
8,Costo,287.96,cash,,,,,,,
8,BearChase,58.99,cash,,,,,,,
9,Seven11,76.15,Mtb-cc,20.044G @ $3.799/g,,,,,,
9,Texas-road-house,79.08,cash,,,,,,,
11,Galley-cafe-arin,16.4,cash,,,,,,,
11,Flagship-Car-Wash,36,cash,,,,,,,
12,Cvs-tysons,57.65,Mtb-cc,,,,,,,
12,Seven11,30.06,Mtb-cc,7.244G @ $4.149/g,,,,,,
12,Patsys,174,Mtb-cc,,,,,,,
12,Patsys-tip,15,cash,,,,,,,
13,UmaiRamenJapRest,525.71,Usaa-cc,,,,,,,
13,Galley-cafe-arin,13.76,cash,,,,,,,
14,Chick-fill-a,11.32,cash,,,,,,,
15,Seven11,18.74,cash,,,,,,,
15,sassy ,10000,cash,Seven-11,,,,,,
16,Liberty-gas-annapolis,81.29,Mtb-cc,20.848G @ $3.899g,,,,,,
16,ezpassmd,140,crypto.com,,,,,,,
16,Annapolis-utils,221.4,Mnt-debt-crd,,,,,,,
18,safeway,32.99,cash,,,,,,,
21,EddieV's-drinks,97.52,cash,,,,,,,
21,EddieV's-tip,20,cash,,,,,,,
21,Gas-dulles-7-11,40,Mtb-cc,9.759G @ 4.099g,,,,,,
21,Neds,55.92,cash,,,,,,,
21,Neds-tip,20,cash,,,,,,,
22,costco,264.33,Mtb-cc,,,,,,,
22,RebbelionBurbon,91.46,cash,,,,,,,
22,Seven11,6.35,cash,cigs,,,,,,
22,Seven11,12.39,cash,,,,,,,
23,Liberty-gas-annapolis,68.84,Mtb-cc,17.656G @ $3.899g,,,,,,
23,Seven11,8.25,cash,smokes,,,,,,
24,TuscaroraGrill,200,cash,,,,,,,
25,EddieV's-drinks,101.76,cash,,,,,,,
25,EddieV's-tip,20,cash,,,,,,,
26,Liberty-gas-annapolis,73.09,Crypto-cc,19.760G @ $3.699g,,,,,,
26,TarinThai,14.79,cash,,,,,,,
27,CrackerBarrel,10.59,cash,,,,,,,
28,Grauls-lunch,19.75,cash,,,,,,,
28,Liberty-gas-annapolis,68.83,Mnt-debt-crd,17.652G @ $3.899/g,,,,,,
28,Seven11,14.29,cash,,,,,,,
30,Green-house,157.5,Mtb-cc,,,,,,,
30,Green-house-tip,50,cash,,,,,,,
30,Green-house,47.88,Mtb-cc,,,,,,,
30,Green-house-tip,20,cash,,,,,,,
30,Green-house,57.96,Mtb-cc,,,,,,,
30,Green-house-tip,20,cash,,,,,,,
0,eom,,,,,,,,,
Dec,,,5478.89,,,,,,,
1,mortgage,1891.59,,,,,,,,
2,Hair-cut-shave,106,Mnt-cc,,,,,,,
2,Hair-cut-shave-tip,20,cash,,,,,,,
2,RamsHeadTvrn,35.28,cash,,,,,,,
2,Liberty-gas-annapolis,81.78,Mtb-cc,22.1G @ $3.699g,,,,,,
2,Green-house,45.36,cash,,,,,,,
2,Green-house-tip,5,cash,,,,,,,
4,Bindaas-bowl-dc,15.35,cash,,,,,,,
6,Green-house,45.36,AmEx,,,,,,,
7,Green-house,47.88,cash,,,,,,,
8,Grauls-lunch,13.46,cash,,,,,,,
9,Grauls-lunch,16.84,cash,,,,,,,
9,Exxon-tysons-rt7,20.87,Mtb-cc,4.971G @ $4.199g,,,,,,
9,netflix,19.07,Mnt-ccs,,,,,,,
10,safeway,110.98,cash,,,,,,,
10,bge,280.69,Mnt-cc,,,,,,,
11,giant,17.15,cash,,,,,,,
11,overdraft,15,Mnt-cc,,,,,,,
12,EddieV's-drinks,43.46,cash,,,,,,,
12,EddieV's-tip,20,cash,,,,,,,
12,Green-house,22.68,cash,,,,,,,
12,Green-house-tip,5,cash,,,,,,,
13,Liberty-leesburg,50.72,Mtb-cc,14.495G @ $3.499g,,,,,,
13,Green-house,22.68,cash,,,,,,,
13,Green-house-tip,5,cash,,,,,,,
13,Green-house,66.78,Mtb-cc,,,,,,,
13,Green-house-tip,10,cash,,,,,,,
13,Green-house,20.79,Mtb-cc,,,,,,,
13,Green-house-tip,5,cash,,,,,,,
14,Seven11,14.8,cash,,,,,,,
15,Grauls-lunch,8.89,cash,,,,,,,
15,cashapp,510,Mnt-cc,,,,,,,
16,Chesapeak-au-truck,235.22,Mnt-cc,oil change,,,,,,
16,Grauls-lunch,12.5,cash,,,,,,,
16,uber,16.95,Mnt-cc,,,,,,,
16,uber,17.48,Mnt-cc,,,,,,,
16,aga service allianzins,16,Mnt-cc,,,,,,,
17,Amtrack,269,Mnt-ccs,,,,,,,
19,Liberty-gas-annapolis,64.26,Mnt-cc,18.366G @ $3.499/g,,,,,,
19,Cricket,100,Mtb-cc,,,,,,,
19,MGM-coffee,45,cash,,,,,,,
19,BayRidgeWine,45.77,cash,,,,,,,
19,DavidusCigar,131.66,cash,,,,,,,
19,XmasWrap,40,cash,,,,,,,
19,Green-house,22.68,cash,,,,,,,
19,Green-house-tip,20,cash,,,,,,,
19,Seven11,11.09,cash,,,,,,,
20,Green-house,41.58,cash,,,,,,,
20,Green-house-tip,20,cash,,,,,,,
20,MGM-breakfast,26.48,cash,,,,,,,
20,MGM-tip,40,cash,,,,,,,
21,Seven11,30.53,Mnt-cc,7.185G @ $4.249/g,,,,,,
21,Seven11,18.74,cash,smokes,,,,,,
22,Cricket,100,Mtb-cc,,,,,,,
23,Eddiev's-dinner,110.24,cash,,,,,,,
23,EddieV's-tip,25,cash,,,,,,,
24,Liberty-gas-annapolis,75.06,Mtb-cc,21.453 G @ $3.499 / g ,,,,,,
24,Xmas-Gift,200,cashss,,,,,,,
25,Seven11,3.6,cash,,,,,,,
25,,,,,,,,,,
27,Grauls-lunch,14.83,cash,,,,,,,
27,marriott,131.76,,,,,,,,
27,,,,,,,,,,
,,,,,,,,,,
0,eom,,,,,,,,,
